あ	啊	N4
ああ	啊	N5
あい	爱	N4
あいかわらず	依然；仍旧	N3
あいきょう	亲切感；魅力	N1
あいこ	光顾，惠顾	N1
あいご	爱护，保护	N1
あいさつ	寒暄；问候	N4
あいさつまわり	寒暄，拜访	N3
あいしょう	合得来；相性	N2
あいじょう	爱；感情	N2
あいする	爱；爱护	N4
あいず	信号；暗号	N3
あいそ	和蔼；亲切；好感；情意；客套话；恭维	N1
あいそわらい	陪笑；假笑	N1
あいだ	之间	N4
あいだがら	关系；交情	N1
あいちゃく	依恋；感情	N3
あいつ	那家伙	N2
あいついで	相继，陆续	N2
あいつぐ	接连发生	N2
あいづち	附和；随声应答	N1
あいて	对方；对象；伙伴；对手	N4
あいてどる	以…为对手	N1
あいどく	爱读	N1
あいにく	不巧；偏偏	N2
あいま	间隙；空当	N2
あいまい	暧昧的；含糊的	N2
あいまって	相互作用；加上	N1
あいよう	喜欢用	N3
あいろ	狭路；障碍	N1
あう	见面；碰见	N5
あえて	特意（明知困难仍）；敢于	N2
あお	蓝色；绿色（信号灯）；未成熟	N5
あおい	蓝色的；绿色的；未成熟的；青涩的	N5
あおくさい	没经验；幼稚；天真；有青草味	N1
あおぐ	仰望；敬仰；尊敬；请教；寻求指导	N1
あおぞら	蓝天，青天	N3
あおむけ	仰面朝天	N2
あか	红色；完全	N5
あかい	红色的	N5
あかじ	赤字；亏损；红字；红字批改	N1
あかちゃん	婴儿	N3
あかつき	黎明；实现之时	N1
あからさま	明显的（露骨）；露骨的	N1
あかり	灯光	N3
あかるい	明亮的；开朗的	N5
あかるみ	光明处；公开	N1
あがる	（价格、温度）上升；位置或数值提高	N5
あき	秋天	N5
あきかん	空罐	N4
あきち	空地	N3
あきや	空房	N3
あきらか	明显的	N2
あきらめ	断念，死心	N3
あきらめる	放弃	N3
あきる	厌烦	N3
あきれはてる	惊愕不已	N1
あきれる	惊呆	N1
あく	开着；打开；开始营业	N4
あくい	恶意	N2
あくえいきょう	坏影响	N2
あくしゅ	握手	N2
あくしゅう	恶臭	N1
あくじゅんかん	恶性循环	N1
あくせんくとう	苦战恶斗	N1
あくだま	坏人；有害一方	N1
あくてんこう	坏天气	N2
あくとう	无赖，坏蛋	N1
あくにん	坏人	N1
あくび	（打）哈欠	N3
あくまで	始终，彻底	N2
あぐら	盘腿坐	N1
あける	打开（门、窗）；开张	N5
あげあしをとる	抓住漏洞挑错	N1
あげくのはて	结果；到头来	N1
あげもの	油炸的食品	N1
あげる	举高（箱子、手）；提高	N5
あこがれ	憧憬，向往	N3
あこがれる	憧憬	N3
あご	下巴，下颚	N3
あさ	早晨，早上	N5
あさい	浅的；淡的	N3
あさいち	早市	N3
あさごはん	早饭	N5
あさって	后天	N5
あさねぼう	早上睡懒觉	N4
あさはか	肤浅的	N1
あさばん	早晚	N1
あさやけ	朝霞	N3
あさゆう	早晚；朝夕	N1
あさる	搜寻；贪婪地吃	N1
あざむく	蒙蔽；胜似	N1
あざやか	鲜艳的；鲜明的	N2
あし	脚，腿	N5
あしあと	足迹	N3
あしおと	脚步声	N3
あしくび	脚踝	N1
あしこし	腿脚；体力	N2
あした	明天	N5
あしでまとい	累赘；碍手碍脚	N1
あしどめ	阻拦；停留	N1
あしどり	步伐（步行脚步）；行踪	N1
あしば	立足点；脚手架	N1
あしもと	脚下；步态；步伐；眼下；当前	N2
あじ	味道；趣味	N4
あじつけ	调味；风格处理	N2
あじみ	尝味道	N1
あじわい	味道（强调）；趣味	N2
あじわう	品尝；体会	N2
あす	明天（正式）；（近的）将来，以后	N3
あずかる	照看；保管；受托负责；暂存；暂不作决定	N3
あずける	寄存；托付	N3
あせ	汗，汗水	N3
あせだく	满身大汗的	N1
あせり	焦急；焦躁	N2
あせる	着急	N2
あそこ	那里	N5
あそびごころ	玩心；情趣	N2
あそぶ	玩	N5
あたいする	值得	N1
あたえる	给予；授予	N3
あたかも	仿佛（书面）；恰如	N1
あたし	我（女性）	N3
あたたかい	温暖的（体感）；温的；温暖的，热情的	N4
あたためる	加热；饮食或身体	N3
あたま	头；脑袋	N5
あたまうち	达到瓶颈	N1
あたまがいい	聪明；头脑好	N4
あたまごなし	不分青红皂白地	N2
あたらしい	新的	N5
あたり	附近；周围	N4
あたりまえ	理所当然；当然	N4
あたる	（预测、球）命中；撞上、猜中；相当于	N4
あだ	敌人；对手；怨恨；仇恨；伤害	N1
あちこち	到处；这里那里	N3
あちら	那边；那位	N5
あちらこちら	到处；各处	N3
あっ	啊	N3
あっか	恶化，变坏	N2
あっかん	压轴；最精彩处	N1
あっけない	太过短暂的；没劲的	N1
あっさり	清淡地；轻易地	N1
あっしゅく	压缩	N1
あっしょう	压倒性胜利	N2
あっせん	斡旋；介绍	N1
あったかい	温暖的	N1
あっち	那边	N5
あっちこっち	到处；各处（口语）	N3
あっというま	转眼间	N2
あっとう	压倒，胜过	N2
あっとうてき	压倒性的	N2
あっぱく	压迫，压制	N1
あつい	厚的	N5
あつかい	处理；待遇	N1
あつかう	对待；处理	N3
あつかましい	厚脸皮的	N2
あつで	厚的；厚料	N1
あつまり	集会；集合	N2
あつまる	（人、物）聚集；人或物汇合	N4
あつみ	厚度；深度	N1
あつめる	收集（资料、意见）	N4
あつりょく	压力	N1
あつれき	摩擦；冲突	N1
あてさき	收件地址	N4
あてな	收件人姓名和地址；收件人	N1
あてはまる	（条件、说明）适用	N2
あてはめる	套用（规则、方法）	N1
あてる	对准（目标、光线）；碰撞、命中；猜中、晒	N4
あと	后面；之后	N5
あとあじ	余味；事后感受	N1
あとおし	支持；推动	N1
あとがき	后记	N1
あとち	旧址；遗址	N1
あとで	之后	N5
あとまわし	推迟	N2
あともどり	后退；倒退	N2
あどけない	天真的；稚气的	N1
あな	洞；孔	N3
あなた	你	N5
あなどる	轻视	N1
あに	哥哥（自己的）	N5
あね	姐姐（自己的）	N5
あの	那个（定语）	N5
あのう	那个……；请问	N5
あのひと	那个人	N5
あばれる	胡闹；乱闹	N2
あびせる	泼洒；给予打击	N1
あびる	淋浴；洗澡	N5
あふれかえる	挤满；充满	N1
あふれだす	涌出；溢出	N2
あふれる	溢出；充满	N3
あぶない	危险的	N5
あぶら	（液态）油	N3
あぶらえ	油画	N1
あまい	甜的；宽松的	N5
あまえる	（孩子、下属）撒娇；承蒙，利用……的机会	N1
あまぐも	雨云，乌云	N1
あまのじゃく	故意唱反调的人	N1
あまみ	甜味	N2
あまみず	雨水	N1
あまやかす	娇惯（孩子、宠物）	N2
あまり	不太；不很	N5
あまる	有剩余	N3
あみ	网；法网	N1
あみだな	行李架	N3
あみもの	编织物品	N1
あむ	编织；编写	N3
あめ	雨，雨天	N5
あめあがり	雨后	N1
あめんぼ	水黾	N1
あやうい	危险的；岌岌可危	N1
あやしい	可疑的	N3
あやす	哄逗；哄孩子	N1
あやつる	操纵；掌握	N1
あやふや	含糊的（记忆）；不确定的	N1
あやぶむ	担忧；怀疑	N1
あやまち	错误，过失	N1
あやまり	错误，失误	N2
あやまる	道歉	N4
あゆみ	步伐（脚步）；进程	N2
あゆみよる	靠近；妥协	N2
あゆむ	迈步；走过	N2
あら	哎呀（女性用语）	N2
あらい	粗糙的；粗略的	N1
あらいだす	洗去表层使其显露；查明；揭示；仔细查清；开始洗涤	N2
あらいもの	待洗物；餐具	N1
あらう	洗	N5
あらかじめ	事先	N2
あらす	糟蹋（田地、房间）；偷盗	N2
あらそい	争斗；争执	N2
あらそう	争夺；争论	N2
あらた	新的；新鲜的；新颖的	N2
あらたまる	变正式；更新，更替；改善，革新	N2
あらためて	重新；再次	N2
あらためる	改正（制度、错误）；改变；检查	N2
あらっぽい	粗暴的；粗糙的	N1
あらゆる	所有的；一切	N3
あらわ	裸露的；暴露的；不加掩饰的；公开的；显露的	N1
あらわす	表示（感谢、意见）	N3
あらわれ	显露，体现	N3
あらわれる	（成果、症状）出现；显现	N3
あり	蚂蚁	N2
ありあまる	绰绰有余	N1
ありあり	清楚地（明确）；活生生地	N1
ありうる	可能存在	N2
ありかた	应有状态；方式	N1
ありがたい	感激的；难得的	N2
ありがたみ	恩惠，价值（感受到的可贵）	N1
ありがち	常见的	N2
ありがとう	谢谢	N5
ありきたり	普通的（老套、无新意）；老套的	N1
ありとあらゆる	所有的	N1
ありのまま	原本的；如实的	N2
ありふれる	常见；普通	N1
