判定	いろどり级别	语法点	本库现状	证据	建议
缺	入門(A1)	位置名詞（Nの上／下／中／前／後ろ／となり＋にあります）	全库没有；格助詞「の」只讲所属	いろどり入門34,63	收进 N5
缺	入門(A1)	接続詞「あと」（S1。あと、S2。）	「～あとで」是「動詞た形＋あとで」，不是句首接続詞	いろどり入門78	收进 N5（小）
缺	初級2(A2)	文脈指示（それ／そこ 指前文）	こそあど 三条只讲現場指示（近称/中称/远称）	いろどり初級2-4	收进 N4
缺	初級2(A2)	口语缩约形 ～なきゃ／なくちゃ／～ちゃ	只有 なければならない・てはいけない 的书面形	いろどり初級2-17,43,50,55	收进 N4
缺	初級2(A2)	～はじめる	有「～だす」「～つづける」，唯独没有「～はじめる」	いろどり初中級36	收进 N4
缺	初級2(A2)	～のは～だ（強調構文）	N3「～というのは」是下定义，不是这个	いろどり初級2-13	收进 N4
缺	初級2(A2)	継続の「～まで」（V-るまで、～）	格助詞「まで」接续只写「名詞＋まで」，没有动词接续	いろどり初級2-63	扩充 N5 那条的接续
缺	初中級(B1)	～ところがある	全库没有	いろどり初中級61,62	收进 N3
缺	初中級(B1)	～気がする	全库没有	いろどり初中級5	收进 N3
缺	初中級(B1)	動詞の連用中止（書き、～）	「～くて／で（中顿）」明确写着「连接形容词性谓语」	いろどり初中級65	收进 N3
缺	初級1/初中級	頻度・回数（【期間】に～回／【数量】も）	全库没有	いろどり初級1-50、初中級40	收进 N4/N3
覆盖不全	初級1(A2)	動詞の連体修飾（V 普通形＋N）	**没有独立条目**，只在「動詞た形」说明里带了一句「也可作连体修饰名词」；辞書形・ている形的连体修饰一个字没有	いろどり初級1-80,89 ＋ 2018N5問題2-20	立独立条目，N5
覆盖不全	入門(A1)	接続詞「でも」（句首逆接）	**没有独立条目**，塞在「～ても／でも」说明的最后一句	いろどり入門82 ＋ 2018N5問題3-22	拆出来立独立条目，N5
覆盖不全	入門(A1)	目的の「に」（V-に行く）	在「格助詞「に」」的第④条用法里，没有独立条目	いろどり入門55,56 ＋ 2018N5問題3-26	拆出来立独立条目，N5
分级不符	入門(A1)	～てもいい（許可）	我们放 N4	いろどり入門42	降到 N5
分级不符	入門(A1)	～の／んです	我们放 N4	いろどり入門65 ＋ 初級1-67,77,78	降到 N5
分级不符	入門(A1)	授受「くれる」	我们放 N4	いろどり入門39 ＋ 2018N5問題2-21	降到 N5
分级不符	入門(A1)	疑問詞＋か／疑問詞＋も	我们放 N4	いろどり入門71,77	降到 N5
分级不符	初級1(A2)	名詞化の「の」（V-るのが好き）	我们放 N3（条目名就叫「～の」）	いろどり初級1-6,13,45	降到 N4
分级不符	初中級(B1)	～っぽい	我们放 N2	いろどり初中級9	降到 N3
分级不符	初中級(B1)	～がちだ	我们放 N2	いろどり初中級22	降到 N3
切分存疑	初級1(A2)	～たことがある（経験）	只有一条「～ことがある」，把「経験」和「時々ある」并成一条	いろどり初級1-38 只讲経験	拆成两条
收敛	—	N4 的 33 条敬语（拝借する／承る／あがる／召す…）占 N4 的 25%	当成 33 个「语法点」；いろどり 在更高的 A2〜B1 也只教 7 条**规则**，不是词表	いろどり初中級30,45,47,48,73,74,75	收敛成 7～8 条规则；敬语动词挪进词库。N4 130 → 约 105
存疑	—	終助詞「わ」	放在 N5	老派女性语，いろどり 348 条一次没出现	降级或删
存疑	—	かしら	放在 N5（与「かな」并成一条）	同上	拆开，「かな」留 N5，「かしら」降级
存疑	—	～だい／かい	放在 N4	老派男性口语，いろどり 一次没出现	降级
存疑	—	～たまえ／～ずとも／～ぬ／ん／～ねばならない／～にて	放在 N3	文语・明治期用法（「早く来たまえ」），いろどり 一次没出现	降到 N1 或删
保留	—	数詞・助数詞・副詞・疑問詞单列（约 30 条，N5）	いろどり 348 条里没有	いろどり 的文型表**只收句型不收词汇**，编法差异	保留，不动
保留	—	しかし／それとも／ところで／～場合／～ほかに／～くらい	いろどり 348 条里没有	いろどり 是生活会话教材不教书面语；JLPT 考	保留
不收	—	「いっしょに」「また」	全库没有	2018N5考过，但いろどり/まるごと 两份文型表都不收	判为词汇，不进语法库
