来源	定位	考点	本库对应	状态
OFFICIAL-2018	問題1-01	手段・方法の「で」	格助詞「で」	已有
OFFICIAL-2018	問題1-02	並列の「や」（～や～など）	並列助詞「や（～など）」	已有
OFFICIAL-2018	問題1-03	起点の「を」（家を出る）	格助詞「を」	已有
OFFICIAL-2018	問題1-04	対象の「に」（～に会う）	格助詞「に」	已有
OFFICIAL-2018	問題1-05	主格の「が」	格助詞「が」	已有
OFFICIAL-2018	問題1-06	数量＋「で」（合計）	格助詞「で」	已有
OFFICIAL-2018	問題1-07	対比の「は」（～は～が、～は～）	提示助詞「は」	已有
OFFICIAL-2018	問題1-08	な形容詞の「で形」（中顿）	な形容詞「で形」	已有
OFFICIAL-2018	問題1-09	指示詞（ここ／そこ／あそこ／どこ）	ここ／そこ／あそこ／どこ	已有
OFFICIAL-2018	問題1-10	疑問詞「いかが」	どう／いかが	已有
OFFICIAL-2018	問題1-11	「まだ」＋否定	まだ～	已有
OFFICIAL-2018	問題1-12	副詞「また」	——	缺
OFFICIAL-2018	問題1-13	～ながら（動詞ます形＋ながら）	～ながら	已有
OFFICIAL-2018	問題1-14	な形容詞の否定過去（～じゃありませんでした）	な形容詞の敬体形	已有
OFFICIAL-2018	問題1-15	～をください	～をください	已有
OFFICIAL-2018	問題1-16	～ませんか（勧誘）	～ませんか	已有
OFFICIAL-2018	問題2-17	経路の「を」＋方向の「に」（～を～に曲がる）	格助詞「を」／格助詞「に」	已有
OFFICIAL-2018	問題2-18	～と いっしょに	——	缺
OFFICIAL-2018	問題2-19	い形容詞の「て形」（中顿）	い形容詞「て形」	已有
OFFICIAL-2018	問題2-20	動詞の連体修飾（動詞＋名詞）	——	缺
OFFICIAL-2018	問題2-21	授受「～に もらう」	もらう／いただく（N4）	分级不符
OFFICIAL-2018	問題3-22	接続詞「でも」（逆接・文頭）	——	缺
OFFICIAL-2018	問題3-23	～てください	～てください／ないでください	已有
OFFICIAL-2018	問題3-24	動詞「た形」（文脈時制）	動詞「た形」	已有
OFFICIAL-2018	問題3-25	名詞修飾の「の」	格助詞「の」	已有
OFFICIAL-2018	問題3-26	目的の「に」（～に行く／来る）	——	缺
IRODORI	入門	目的の「に」（V-に行きます）	——	缺
IRODORI	入門	接続詞「でも」（S1。でも、S2。）	——	缺
IRODORI	入門	授受「くれる」	くれる／くださる（N4）	分级不符
IRODORI	初級1	授受「【人】に【物】をあげます／もらいます」	あげる・もらう（N4）	分级不符
IRODORI	初級1	動詞の連体修飾（V 普通形＋N）	——	缺
IRODORI	—	「いっしょに」「また」	——	不收（見 README）
